Radars;Date;pdssr;pdpsr;pda;pdc;iva;ivc;fc;ft;mt;rng;azim;stat
EBSH;24/07/2022 00:00;;64,05;;;;;;;;23,1;0,12;
EBBE;24/07/2022 00:00;;62,77;;;;;;;;145,8;-0,03;
GEMB;24/07/2022 00:00;91,65;62,22;98,34;95,01;0,76;0,51;1,17;0;1,76;105,8;-0,02;
LARCE;24/07/2022 00:00;;39,76;0;0;0;0;0;0;0;66,6;-0,04;
EBFS;24/07/2022 00:00;;;;;;;;;;;;No Data
S723E;25/07/2022 00:00;96,18;86,31;99,91;99,98;0,01;0,01;0,02;0;0,03;52,2;0;
EBBL;25/07/2022 00:00;90,81;75,27;99,65;99,97;0;0,01;0,01;0;0,02;59,6;-0,04;
GEEK;25/07/2022 00:00;96,1;72,24;99,6;99,93;0;0;0,01;0;0,21;57,4;-0,08;
EBSH;25/07/2022 00:00;;74,32;;;;;;;;8,5;0,11;
EBBE;25/07/2022 00:00;;73,29;;;;;;;;133,6;-0,05;
GEMB;25/07/2022 00:00;96,14;78,06;99,08;97,45;0,47;0,35;0,74;0,01;0,71;90,2;-0,02;
LARCE;25/07/2022 00:00;;50,36;0;0;0;0;0;0;0;37,4;-0,05;
EBFS;25/07/2022 00:00;;;;;;;;;;;;No Data
S723E;27/07/2022 00:00;95,99;85,55;99,88;99,93;0;0;0;0;0,08;60,4;0,01;
EBBL;27/07/2022 00:00;82,96;67,39;99;99,38;0,03;0,02;0,05;0;0,02;67;-0,04;
GEEK;27/07/2022 00:00;93,84;62,46;99,25;99,86;0,02;0,03;0,05;0;0,27;3,5;-0,01;
EBSH;27/07/2022 00:00;;63,74;;;;;;;;-1;0,14;
EBBE;27/07/2022 00:00;;66,34;;;;;;;;164,2;-0,03;
GEMB;27/07/2022 00:00;91,56;73,17;98,33;95,23;0,76;0,52;1,19;0;1,3;83,5;-0,01;
LARCE;27/07/2022 00:00;;44,95;0;0;0;0;0;0;0;76,6;-0,04;
EBFS;27/07/2022 00:00;;;;;;;;;;;;No Data
S723E;28/07/2022 00:00;95,77;84,5;99,86;99,94;0,01;0;0,01;0;0,02;51,9;0;
EBBL;28/07/2022 00:00;83,08;67,52;99,31;98,74;0;0,02;0,03;0;0,02;58,3;-0,03;
GEEK;28/07/2022 00:00;95,79;78,94;98,84;99,69;0,02;0;0,02;0;0,15;73,4;-0,02;
EBSH;28/07/2022 00:00;;69,25;;;;;;;;-12,3;0,12;
EBBE;28/07/2022 00:00;;62,16;;;;;;;;170,6;-0,03;
GEMB;28/07/2022 00:00;93,41;77,21;98,34;95,7;0,73;0,53;1,16;0;0,91;73,1;-0,01;
LARCE;28/07/2022 00:00;;43,65;0;0;0;0;0;0;0;51,1;-0,04;
EBFS;28/07/2022 00:00;;;;;;;;;;;;No Data
S723E;29/07/2022 00:00;95,64;85,39;99,8;99,8;0;0;0;0;0,07;39;0,01;
EBBL;29/07/2022 00:00;86,34;71,63;99,28;99,05;0;0;0;0;0,02;46,6;-0,03;
GEEK;29/07/2022 00:00;96,11;71,97;98,98;99,67;0;0;0;0;0,22;73,3;-0,01;
EBSH;29/07/2022 00:00;;73,55;;;;;;;;-16,7;0,13;
EBBE;29/07/2022 00:00;;64,83;;;;;;;;134,1;-0,03;
GEMB;29/07/2022 00:00;94,55;79,84;98,96;96,47;0,52;0,42;0,85;0;1,47;75,1;-0,01;
LARCE;29/07/2022 00:00;;45,99;0;0;0;0;0;0;0;45,4;-0,04;
EBFS;29/07/2022 00:00;;;;;;;;;;;;No Data
S723E;30/07/2022 00:00;95,69;84,53;99,88;99,83;0;0;0;0;0,04;47,5;0,01;
EBBL;30/07/2022 00:00;80,87;62,12;98,85;99,75;0,01;0,02;0,03;0;0,06;48,9;-0,03;
GEEK;30/07/2022 00:00;92,83;68,14;99,11;99,42;0,01;0,01;0,01;0;0,13;50,6;-0,02;
EBSH;30/07/2022 00:00;;61,37;;;;;;;;8;0,12;
EBBE;30/07/2022 00:00;;56,72;;;;;;;;103,4;-0,02;
GEMB;30/07/2022 00:00;90,4;71,05;98,14;94,85;0,77;0,63;1,31;0,02;1,72;91,9;-0,02;
LARCE;30/07/2022 00:00;;36,34;0;0;0;0;0;0;0;16,9;-0,01;
EBFS;30/07/2022 00:00;;;;;;;;;;;;No Data
S723E;31/07/2022 00:00;97,11;87,92;99,92;99,98;0;0;0;0;0,03;59,2;0,01;
EBBL;31/07/2022 00:00;87,59;74,54;99,49;99,78;0;0;0;0;0,02;67;-0,03;
GEEK;31/07/2022 00:00;94,03;65,8;99,03;98,91;0;0,01;0,01;0;0,12;52,1;-0,02;
EBSH;31/07/2022 00:00;;73,96;;;;;;;;4,4;0,13;
EBBE;31/07/2022 00:00;;68,95;;;;;;;;179,9;-0,02;
GEMB;31/07/2022 00:00;95,26;80,29;99,19;97,37;0,42;0,34;0,69;0,01;0,52;101,4;-0,01;
LARCE;31/07/2022 00:00;;49,96;0;0;0;0;0;0;0;53;-0,04;
EBFS;31/07/2022 00:00;;;;;;;;;;;;No Data
S723E;01/08/2022 00:00;94,79;85,82;99,85;99,89;0;0,01;0,01;0;0,1;48,6;0,01;
EBBL;01/08/2022 00:00;86,92;72,07;99,56;99,92;0,01;0,01;0,02;0;0,02;51;-0,04;
GEEK;01/08/2022 00:00;94,82;81,56;98,97;99,9;0;0,02;0,02;0;0,12;51,7;-0,02;
EBSH;01/08/2022 00:00;;76,17;;;;;;;;-6,8;0,12;
EBBE;01/08/2022 00:00;;66,45;;;;;;;;130,6;-0,03;
GEMB;01/08/2022 00:00;94,83;81,1;99,06;96,83;0,52;0,47;0,91;0;0,45;103,8;-0,01;
LARCE;01/08/2022 00:00;;47,07;0;0;0;0;0;0;0;34,5;-0,03;
EBFS;01/08/2022 00:00;;;;;;;;;;;;No Data
S723E;02/08/2022 00:00;95,49;85,65;99,87;99,95;0;0;0;0;0,07;73,1;0;
EBBL;02/08/2022 00:00;82,25;66,19;99,2;99,19;0;0,01;0,01;0;0,05;84,9;-0,04;
GEEK;02/08/2022 00:00;93,84;76,86;99,25;99,42;0,02;0,01;0,03;0;0,21;73,7;-0,03;
EBSH;02/08/2022 00:00;;69,72;;;;;;;;-1,3;0,11;
EBBE;02/08/2022 00:00;;65,22;;;;;;;;157,9;-0,04;
GEMB;02/08/2022 00:00;93,38;76,25;98,68;96,03;0,68;0,49;1,08;0,01;1,22;113,5;-0,02;
LARCE;02/08/2022 00:00;;43,84;0;0;0;0;0;0;0;86,5;-0,04;
EBFS;02/08/2022 00:00;;;;;;;;;;;;No Data
S723E;03/08/2022 00:00;94,79;84,61;99,81;99,87;0;0,01;0,01;0;0,21;75,1;0,01;
EBBL;03/08/2022 00:00;82,88;71,99;99,38;99,98;0;0,01;0,01;0;0,04;88;-0,03;
GEEK;03/08/2022 00:00;93,51;76,62;99,23;99,63;0,01;0,02;0,03;0;0,31;37,3;-0,03;
EBSH;03/08/2022 00:00;;68,88;;;;;;;;11,8;0,12;
EBBE;03/08/2022 00:00;;62,48;;;;;;;;160,6;-0,02;
GEMB;03/08/2022 00:00;95,07;78,74;98,61;96,48;0,68;0,41;1;0;1,19;110,4;0;
LARCE;03/08/2022 00:00;;40,14;0;0;0;0;0;0;0;63,1;-0,03;
EBFS;03/08/2022 00:00;;;;;;;;;;;;No Data
S723E;04/08/2022 00:00;95,18;84,6;99,87;99,96;0;0;0;0;0,13;55,2;0,01;
EBBL;04/08/2022 00:00;86,71;73,52;99,48;99,96;0;0,01;0,01;0;0,01;74,2;-0,04;
GEEK;04/08/2022 00:00;94,8;82,06;99,36;99,91;0,01;0,02;0,02;0;0,19;86,8;-0,04;
EBSH;04/08/2022 00:00;;73,69;;;;;;;;5,5;0,12;
EBBE;04/08/2022 00:00;;64,08;;;;;;;;155,2;-0,04;
GEMB;04/08/2022 00:00;94,93;80,43;98,85;96,61;0,59;0,41;0,92;0;1,17;101,4;0;
LARCE;04/08/2022 00:00;;44,61;0;0;0;0;0;0;0;65,7;-0,05;
EBFS;04/08/2022 00:00;;;;;;;;;;;;No Data
S723E;05/08/2022 00:00;95,41;85,95;99,8;99,96;0;0;0;0;0,04;42,8;0;
EBBL;05/08/2022 00:00;86,44;67,33;99,27;99,84;0;0,01;0,01;0;0,01;54,7;-0,04;
GEEK;05/08/2022 00:00;95,11;80,04;98,9;99,15;0;0,01;0,01;0;0,08;78;-0,02;
EBSH;05/08/2022 00:00;;71,65;;;;;;;;-1,1;0,12;
EBBE;05/08/2022 00:00;;62,82;;;;;;;;122,1;-0,04;
GEMB;05/08/2022 00:00;92,62;77,47;98,59;95,85;0,6;0,48;0,99;0,01;1,05;71,5;0;
LARCE;05/08/2022 00:00;;42,79;0;0;0;0;0;0;0;37,5;-0,04;
EBFS;05/08/2022 00:00;;;;;;;;;;;;No Data
S723E;06/08/2022 00:00;94,5;81,33;99,86;99,86;0;0;0;0;0,04;57,2;0;
EBBL;06/08/2022 00:00;79,81;62,21;98,85;98,89;0,03;0,02;0,05;0;0;51,5;-0,01;
GEEK;06/08/2022 00:00;92,28;60,7;98,93;98,62;0,03;0,01;0,04;0;0,2;75,7;0;
EBSH;06/08/2022 00:00;;57,72;;;;;;;;-2;0,14;
EBBE;06/08/2022 00:00;;55,03;;;;;;;;101,9;-0,02;
GEMB;06/08/2022 00:00;89,26;66,01;97,7;93,77;1,04;0,7;1,6;0;2,08;57,2;0,01;
LARCE;06/08/2022 00:00;;32,34;0;0;0;0;0;0;0;29,8;-0,02;
EBFS;06/08/2022 00:00;;;;;;;;;;;;No Data
S723E;07/08/2022 00:00;95,44;83,5;99,87;99,83;0,01;0;0,01;0;0,02;55,3;0,01;
EBBL;07/08/2022 00:00;80,16;61,12;98,77;99,42;0,02;0,02;0,03;0;0,01;56,2;-0,03;
GEEK;07/08/2022 00:00;93,24;63,87;98,94;99,39;0,02;0,01;0,03;0,01;0,13;73,5;-0,02;
EBSH;07/08/2022 00:00;;68,13;;;;;;;;-10,8;0,13;
EBBE;07/08/2022 00:00;;57,83;;;;;;;;117,8;-0,02;
GEMB;07/08/2022 00:00;90,37;70,54;97,97;94,62;0,89;0,72;1,49;0;1,71;79,4;0;
LARCE;07/08/2022 00:00;;35,33;0;0;0;0;0;0;0;37,5;-0,02;
EBFS;07/08/2022 00:00;;;;;;;;;;;;No Data
S723E;08/08/2022 00:00;95,8;85,29;99,82;99,94;0;0;0;0;0,09;67,2;0,01;
EBBL;08/08/2022 00:00;85,97;66,53;99,18;99,74;0,02;0,01;0,03;0;0,01;93;-0,05;
GEEK;08/08/2022 00:00;93,07;68,79;98,87;98,88;0,01;0,01;0,02;0;0,26;41,8;-0,02;
EBSH;08/08/2022 00:00;;71,39;;;;;;;;4,8;0,12;
EBBE;08/08/2022 00:00;;65,96;;;;;;;;154,3;-0,02;
GEMB;08/08/2022 00:00;92,03;75,92;98,49;96,69;0,65;0,47;1,03;0,01;1,32;125,3;0;
LARCE;08/08/2022 00:00;;44,75;0;0;0;0;0;0;0;71,6;-0,03;
EBFS;08/08/2022 00:00;;;;;;;;;;;;No Data
S723E;09/08/2022 00:00;95,81;86,82;99,85;99,88;0;0,01;0,01;0;0,05;74,3;0,01;
EBBL;09/08/2022 00:00;86,11;69,48;99,21;99,41;0,01;0,03;0,04;0;0,03;87;-0,03;
GEEK;09/08/2022 00:00;92,96;68,5;98,84;99,46;0,05;0,01;0,06;0;0,24;26,6;-0,01;
EBSH;09/08/2022 00:00;;71,95;;;;;;;;4,7;0,13;
EBBE;09/08/2022 00:00;;69,14;;;;;;;;121,7;-0,01;
GEMB;09/08/2022 00:00;77,56;64,03;98,56;96,07;0,67;0,53;1,11;0,01;1,29;120,3;0;
LARCE;09/08/2022 00:00;;45,84;0;0;0;0;0;0;0;52,6;-0,03;
EBFS;09/08/2022 00:00;;;;;;;;;;;;No Data
S723E;11/08/2022 00:00;95,74;86,32;99,89;99,94;0;0;0;0;0,07;66,2;0;
EBBL;11/08/2022 00:00;86,02;71,76;99,31;99,72;0,01;0,01;0,02;0;0,01;101,7;-0,02;
GEEK;11/08/2022 00:00;94,7;78,06;99,13;99,66;0;0;0,01;0;0,12;43,4;-0,03;
EBSH;11/08/2022 00:00;;68,75;;;;;;;;-7,4;0,12;
EBBE;11/08/2022 00:00;;69,55;;;;;;;;146,3;-0,01;
GEMB;11/08/2022 00:00;93,3;15,62;98,5;96,22;0,64;0,57;1,08;0,01;1,5;135,7;-0,01;
LARCE;11/08/2022 00:00;;44,27;0;0;0;0;0;0;0;41,2;-0,03;
EBFS;11/08/2022 00:00;;;;;;;;;;;;No Data
S723E;12/08/2022 00:00;95,56;84,98;99,88;99,96;0;0;0;0;0,02;58,9;0,01;
EBBL;12/08/2022 00:00;83,56;67,25;99,09;99,04;0,01;0,03;0,03;0;0,01;72,3;-0,01;
GEEK;12/08/2022 00:00;93,2;76,66;98,69;99,3;0;0,01;0,01;0;0,1;87,4;-0,01;
EBSH;12/08/2022 00:00;;73,82;;;;;;;;40,4;0,12;
EBBE;12/08/2022 00:00;;66,02;;;;;;;;144,3;-0,02;
GEMB;12/08/2022 00:00;93,04;76,08;98,35;95,61;0,74;0,49;1,13;0;0,93;117,7;0;
LARCE;12/08/2022 00:00;;42,84;0;0;0;0;0;0;0;42,5;-0,03;
EBFS;12/08/2022 00:00;;;;;;;;;;;;No Data
S723E;13/08/2022 00:00;93,99;82,44;99,86;99,94;0;0;0;0;0,02;62,1;0,01;
EBBL;13/08/2022 00:00;79,12;61,36;98,72;99,69;0,02;0,02;0,04;0;0,01;60,7;-0,02;
GEEK;13/08/2022 00:00;92,55;71,29;98,84;99,3;0,02;0,01;0,02;0;0,14;93,2;-0,02;
EBSH;13/08/2022 00:00;;62,35;;;;;;;;16,4;0,12;
EBBE;13/08/2022 00:00;;61,94;;;;;;;;116,1;-0,03;
GEMB;13/08/2022 00:00;89,97;69,12;98,21;95,21;0,8;0,54;1,24;0;1,37;72,2;-0,01;
LARCE;13/08/2022 00:00;;37,74;0;0;0;0;0;0;0;11,5;-0,04;
EBFS;13/08/2022 00:00;;;;;;;;;;;;No Data
S723E;14/08/2022 00:00;93,5;81,95;99,81;99,94;0;0;0;0;0,05;46,5;0;
EBBL;14/08/2022 00:00;81,09;65,86;99,06;99,75;0,01;0,01;0,01;0;0,04;63,1;-0,03;
GEEK;14/08/2022 00:00;93,66;73,56;98,94;99,66;0,01;0;0,02;0;0,1;72;-0,03;
EBSH;14/08/2022 00:00;;63,93;;;;;;;;-1,9;0,12;
EBBE;14/08/2022 00:00;;59,04;;;;;;;;124,8;-0,03;
GEMB;14/08/2022 00:00;90,51;71,44;98,48;95,86;0,66;0,5;1,07;0;1,01;76,4;-0,01;
LARCE;14/08/2022 00:00;;35,74;0;0;0;0;0;0;0;33,2;-0,04;
EBFS;14/08/2022 00:00;;;;;;;;;;;;No Data
S723E;15/08/2022 00:00;96,76;88,23;99,9;99,98;0;0;0;0;0,11;31,4;0,01;
EBBL;15/08/2022 00:00;91,08;81,84;99,63;100;0,02;0;0,02;0;0,25;44;-0,04;
GEEK;15/08/2022 00:00;96,11;83,61;98,95;99,43;0,01;0;0,01;0;0,29;46;0;
EBSH;15/08/2022 00:00;;80,39;;;;;;;;-15,1;0,13;
EBBE;15/08/2022 00:00;;71,57;;;;;;;;110,7;0;
LARCE;15/08/2022 00:00;;54,39;0;0;0;0;0;0;0;14,3;-0,03;
GEMB;15/08/2022 00:00;;;;;;;;;;;;No Data
EBFS;15/08/2022 00:00;;;;;;;;;;;;No Data
S723E;16/08/2022 00:00;96,76;88,23;99,9;99,98;0;0;0;0;0,11;31,4;0,01;
EBBL;16/08/2022 00:00;91,08;81,84;99,63;100;0,02;0;0,02;0;0,25;44;-0,04;
GEEK;16/08/2022 00:00;96,11;83,61;98,95;99,43;0,01;0;0,01;0;0,29;46;0;
EBSH;16/08/2022 00:00;;80,39;;;;;;;;-15,1;0,13;
EBBE;16/08/2022 00:00;;71,57;;;;;;;;110,7;0;
LARCE;16/08/2022 00:00;;54,39;0;0;0;0;0;0;0;14,3;-0,03;
GEMB;16/08/2022 00:00;;;;;;;;;;;;No Data
EBFS;16/08/2022 00:00;;;;;;;;;;;;No Data
S723E;17/08/2022 00:00;97,34;90,3;99,96;99,95;0;0,03;0,03;0;0,09;45,8;0,01;
EBBL;17/08/2022 00:00;93,86;88,49;99,71;99,96;0;0,03;0,03;0;0,05;51,3;-0,03;
GEEK;17/08/2022 00:00;95,46;73,6;99,06;99,91;0,01;0,03;0,04;0;0,2;67,7;0;
EBSH;17/08/2022 00:00;;79,17;;;;;;;;-5;0,11;
EBBE;17/08/2022 00:00;;79,79;;;;;;;;109,2;0;
LARCE;17/08/2022 00:00;;60,5;0;0;0;0;0;0;0;25,4;-0,03;
GEMB;17/08/2022 00:00;;;;;;;;;;;;No Data
EBFS;17/08/2022 00:00;;;;;;;;;;;;No Data
S723E;18/08/2022 00:00;96,24;87,13;99,9;99,88;0;0,01;0,01;0;0,08;46,5;0,01;
EBBL;18/08/2022 00:00;90,51;76,77;99,47;99,82;0;0,02;0,02;0;0,03;53;-0,03;
GEEK;18/08/2022 00:00;95,58;84,75;98,78;99,86;0;0,01;0,01;0;0,1;68,8;-0,01;
EBSH;18/08/2022 00:00;;75,73;;;;;;;;9,3;0,1;
EBBE;18/08/2022 00:00;;66,19;;;;;;;;128,7;-0,01;
LARCE;18/08/2022 00:00;;43,95;0;0;0;0;0;0;0;57,8;-0,03;
GEMB;18/08/2022 00:00;;;;;;;;;;;;No Data
EBFS;18/08/2022 00:00;;;;;;;;;;;;No Data
S723E;19/08/2022 00:00;96,91;89,47;99,93;99,97;0;0;0;0;0,03;53,6;0;
EBBL;19/08/2022 00:00;91,44;80,65;99,61;99,66;0;0,01;0,01;0;0,02;51,3;-0,04;
GEEK;19/08/2022 00:00;95,71;79,98;99,02;99,42;0;0;0;0;0,12;79;-0,01;
EBSH;19/08/2022 00:00;;75,4;;;;;;;;35,7;0,1;
EBBE;19/08/2022 00:00;;71,33;;;;;;;;134,1;-0,01;
LARCE;19/08/2022 00:00;;50,2;0;0;0;0;0;0;0;44,3;-0,03;
GEMB;19/08/2022 00:00;;;;;;;;;;;;No Data
EBFS;19/08/2022 00:00;;;;;;;;;;;;No Data
S723E;20/08/2022 00:00;93,81;81,46;99,77;99,67;0,01;0;0,01;0;0,09;32,6;0;
EBBL;20/08/2022 00:00;86,16;69,55;98,77;99,52;0;0;0;0;0,08;40,9;-0,04;
GEEK;20/08/2022 00:00;95,16;63,91;99,09;99,07;0,06;0;0,06;0,01;0,17;71,5;-0,03;
EBSH;20/08/2022 00:00;;55,02;;;;;;;;-3,9;0,1;
EBBE;20/08/2022 00:00;;45,34;;;;;;;;119,9;-0,04;
LARCE;20/08/2022 00:00;;24,51;0;0;0;0;0;0;0;47;-0,03;
GEMB;20/08/2022 00:00;;;;;;;;;;;;No Data
EBFS;20/08/2022 00:00;;;;;;;;;;;;No Data
S723E;21/08/2022 00:00;96,11;86,13;99,88;99,9;0;0;0;0;0,08;41,3;0,01;
EBBL;21/08/2022 00:00;87,35;70,24;98,96;98,71;0;0;0,01;0;0,16;53,9;-0,03;
GEEK;21/08/2022 00:00;92,63;59,48;98,79;98,97;0;0;0;0;0,35;34;-0,01;
EBSH;21/08/2022 00:00;;66,19;;;;;;;;-3,1;0,1;
EBBE;21/08/2022 00:00;;64,12;;;;;;;;134,5;-0,03;
LARCE;21/08/2022 00:00;;40,18;0;0;0;0;0;0;0;35,1;-0,02;
GEMB;21/08/2022 00:00;;;;;;;;;;;;No Data
EBFS;21/08/2022 00:00;;;;;;;;;;;;No Data
S723E;22/08/2022 00:00;96,35;87,61;99,89;99,96;0;0;0;0;0,1;49,8;0,01;
EBBL;22/08/2022 00:00;91,3;77,06;99,53;99,94;0,01;0;0,01;0;0,02;55;-0,04;
GEEK;22/08/2022 00:00;95,65;71,57;99,03;99,53;0;0,01;0,01;0;0,22;80,7;-0,01;
EBSH;22/08/2022 00:00;;75,07;;;;;;;;-2;0,1;
EBBE;22/08/2022 00:00;;70,22;;;;;;;;130,9;-0,03;
LARCE;22/08/2022 00:00;;45,34;0;0;0;0;0;0;0;43;-0,03;
GEMB;22/08/2022 00:00;;;;;;;;;;;;No Data
EBFS;22/08/2022 00:00;;;;;;;;;;;;No Data
S723E;23/08/2022 00:00;95,82;85,72;99,88;99,91;0;0,01;0,01;0;0,12;69,4;0;
EBBL;23/08/2022 00:00;90,27;74,99;99,23;99,37;0;0,02;0,02;0;0,09;88,9;-0,03;
GEEK;23/08/2022 00:00;93,33;69,09;99,1;99,11;0,01;0,01;0,02;0;0,18;49,1;-0,02;
EBSH;23/08/2022 00:00;;73,04;;;;;;;;3,3;0,1;
EBBE;23/08/2022 00:00;;62,13;;;;;;;;161,5;-0,02;
LARCE;23/08/2022 00:00;;42,29;0;0;0;0;0;0;0;85,2;-0,02;
GEMB;23/08/2022 00:00;;;;;;;;;;;;No Data
EBFS;23/08/2022 00:00;;;;;;;;;;;;No Data
S723E;24/08/2022 00:00;95,94;85,2;99,86;99,77;0;0;0;0;0,07;56,5;0;
EBBL;24/08/2022 00:00;89,77;69,64;99,31;99,48;0,01;0;0,01;0;0,02;69,3;-0,03;
GEEK;24/08/2022 00:00;95,35;78,35;99,11;99,91;0;0;0;0;0,17;72,9;-0,01;
EBSH;24/08/2022 00:00;;72,73;;;;;;;;-0,5;0,1;
EBBE;24/08/2022 00:00;;58,57;;;;;;;;129,2;-0,04;
LARCE;24/08/2022 00:00;;38,02;0;0;0;0;0;0;0;64,4;-0,02;
GEMB;24/08/2022 00:00;;;;;;;;;;;;No Data
EBFS;24/08/2022 00:00;;;;;;;;;;;;No Data
S723E;25/08/2022 00:00;96,61;87,15;99,92;99,96;0;0,01;0,01;0;0,12;78,8;0;
EBBL;25/08/2022 00:00;89,96;77,92;99,26;99,82;0;0,01;0,01;0;0,04;65,3;-0,04;
GEEK;25/08/2022 00:00;94,43;79,51;99,07;99,77;0;0,01;0,01;0;0,19;75,9;-0,01;
EBSH;25/08/2022 00:00;;70,08;;;;;;;;9,9;0,1;
EBBE;25/08/2022 00:00;;62,83;;;;;;;;174,4;-0,04;
LARCE;25/08/2022 00:00;;41,83;0;0;0;0;0;0;0;58;-0,04;
GEMB;25/08/2022 00:00;;;;;;;;;;;;No Data
EBFS;25/08/2022 00:00;;;;;;;;;;;;No Data
S723E;26/08/2022 00:00;96,1;85,82;99,86;99,88;0;0,02;0,02;0;0,03;29,8;0,01;
EBBL;26/08/2022 00:00;91,93;78,25;99,46;99,65;0;0,02;0,02;0;0,02;36,9;-0,03;
GEEK;26/08/2022 00:00;97,24;;99,23;99,8;0;0,02;0,02;0;0,09;66;-0,01;
EBSH;26/08/2022 00:00;;78,89;;;;;;;;15,1;0,11;
EBBE;26/08/2022 00:00;;70,72;;;;;;;;116,1;-0,03;
LARCE;26/08/2022 00:00;;48,32;0;0;0;0;0;0;0;12,3;-0,02;
GEMB;26/08/2022 00:00;;;;;;;;;;;;No Data
EBFS;26/08/2022 00:00;;;;;;;;;;;;No Data
S723E;27/08/2022 00:00;95,34;83,09;99,87;99,78;0;0;0;0;0,06;35,6;0,01;
EBBL;27/08/2022 00:00;88,57;65,1;99,15;99,34;0;0;0;0;0,01;25,9;-0,04;
GEEK;27/08/2022 00:00;95,87;81,52;99,57;99,23;0;0;0;0;0,43;54,4;-0,06;
EBSH;27/08/2022 00:00;;62,32;;;;;;;;14,8;0,1;
EBBE;27/08/2022 00:00;;54,81;;;;;;;;111,2;-0,03;
LARCE;27/08/2022 00:00;;31,08;0;0;0;0;0;0;0;21;-0,03;
GEMB;27/08/2022 00:00;;;;;;;;;;;;No Data
EBFS;27/08/2022 00:00;;;;;;;;;;;;No Data
S723E;28/08/2022 00:00;94,1;82,84;99,82;99,95;0;0;0;0;0,03;38,8;0;
EBBL;28/08/2022 00:00;88,89;70,73;98,98;99,63;0,01;0;0,01;0;0,01;27,6;-0,05;
GEEK;28/08/2022 00:00;94,03;75,02;99,35;98,89;0,03;0;0,03;0;0,12;60,7;-0,05;
EBSH;28/08/2022 00:00;;30,22;;;;;;;;-2,7;0,09;
EBBE;28/08/2022 00:00;;58,67;;;;;;;;99,3;-0,05;
LARCE;28/08/2022 00:00;;35,98;0;0;0;0;0;0;0;19;-0,03;
GEMB;28/08/2022 00:00;;;;;;;;;;;;No Data
EBFS;28/08/2022 00:00;;;;;;;;;;;;No Data
S723E;31/08/2022 00:00;96,45;86,53;99,89;99,96;0,01;0;0,01;0;0,07;34,7;0,01;
EBBL;31/08/2022 00:00;92,49;74,33;99,33;99,99;0,06;0;0,06;0;0,01;42,5;-0,04;
GEEK;31/08/2022 00:00;94,86;83,33;99,59;99,64;0,01;0;0,01;0;0,11;27,9;-0,05;
EBSH;31/08/2022 00:00;;71,14;;;;;;;;-12,6;0,1;
EBBE;31/08/2022 00:00;;67,35;;;;;;;;104,7;-0,02;
LARCE;31/08/2022 00:00;;44,68;0;0;0;0;0;0;0;15,1;-0,03;
GEMB;31/08/2022 00:00;;;;;;;;;;;;No Data
EBFS;31/08/2022 00:00;;;;;;;;;;;;No Data
S723E;01/09/2022 00:00;95,63;85,88;99,87;99,98;0,02;0;0,02;0;0,03;33,5;0,01;
EBBL;01/09/2022 00:00;91,39;74,64;99,22;99,53;0,01;0;0,01;0;0;34,9;-0,04;
GEEK;01/09/2022 00:00;94,77;79,34;99,47;99,84;0;0,01;0,01;0;0,1;45,2;-0,04;
EBSH;01/09/2022 00:00;;68,34;;;;;;;;-11,4;0,11;
EBBE;01/09/2022 00:00;;67,94;;;;;;;;123,8;-0,01;
LARCE;01/09/2022 00:00;;47,82;0;0;0;0;0;0;0;14,3;-0,03;
GEMB;01/09/2022 00:00;;;;;;;;;;;;No Data
EBFS;01/09/2022 00:00;;;;;;;;;;;;No Data
S723E;02/09/2022 00:00;95,21;84,45;99,87;99,87;0;0;0,01;0;0,03;33;0;
EBBL;02/09/2022 00:00;80,06;66,07;99,14;99,82;0,01;0,01;0,01;0;0,01;37,3;-0,03;
GEEK;02/09/2022 00:00;94,04;77,72;99,34;99,82;0;0,01;0,01;0;0,08;52;-0,06;
EBSH;02/09/2022 00:00;;67,8;;;;;;;;-23;0,11;
EBBE;02/09/2022 00:00;;63,26;;;;;;;;102,6;-0,01;
GEMB;02/09/2022 00:00;92,49;75,84;98,41;96,71;0,66;0,42;1,02;0;1,07;58,3;-0,02;
LARCE;02/09/2022 00:00;;40,58;0;0;0;0;0;0;0;11,5;-0,02;
EBFS;02/09/2022 00:00;;;;;;;;;;;;No Data
S723E;03/09/2022 00:00;94,83;85,19;99,87;99,96;0;0;0;0;0,02;43,6;0,01;
EBBL;03/09/2022 00:00;83,53;61,1;98,93;99,35;0;0,01;0,02;0;0,01;48,4;-0,04;
GEEK;03/09/2022 00:00;95,26;81,1;99,6;99,73;0;0;0;0;0,09;5,8;-0,02;
EBSH;03/09/2022 00:00;;63,74;;;;;;;;-39,6;0,1;
EBBE;03/09/2022 00:00;;61,25;;;;;;;;83,6;-0,01;
GEMB;03/09/2022 00:00;90,14;70,11;98,17;95,21;0,74;0,64;1,28;0;1,49;73,6;-0,03;
LARCE;03/09/2022 00:00;;36,17;0;0;0;0;0;0;0;27,3;-0,03;
EBFS;03/09/2022 00:00;;;;;;;;;;;;No Data
S723E;04/09/2022 00:00;94,87;82,73;99,78;99,74;0,01;0;0,01;0;0,01;43,1;0,01;
EBBL;04/09/2022 00:00;80,75;61,83;98,66;98,79;0;0,03;0,03;0;0,01;68;-0,03;
GEEK;04/09/2022 00:00;92,61;72,98;98,81;98,13;0,02;0,01;0,03;0;0,2;76,2;-0,03;
EBSH;04/09/2022 00:00;;57,09;;;;;;;;-8,7;0,09;
